size,sort_type,input_type,micro_time,comparisons
22,hybrid,descending,0,252
22,insertion,random,0,141.44
22,merge,random,0,72.82
22,hybrid,random,0,138.5
23,insertion,ascending,0,22
23,merge,ascending,0,58
23,hybrid,ascending,0,22
23,insertion,descending,0,275
23,merge,descending,0,48
23,hybrid,descending,0,275
23,insertion,random,0,150.14
23,merge,random,19.38,77.38
23,hybrid,random,0,145.54
24,insertion,ascending,0,23
24,merge,ascending,0,60
24,hybrid,ascending,0,23
24,insertion,descending,0,299
24,merge,descending,0,52
24,hybrid,descending,0,299
24,insertion,random,0,163.42
24,merge,random,20.02,82.22
24,hybrid,random,0,159
25,insertion,ascending,0,24
25,merge,ascending,0,64
25,hybrid,ascending,0,24
25,insertion,descending,0,324
25,merge,descending,0,54
25,hybrid,descending,19.7,324
25,insertion,random,0,173.06
25,merge,random,0,86.94
25,hybrid,random,0,175.36
26,insertion,ascending,0,25
26,merge,ascending,0,67
26,hybrid,ascending,0,25
26,insertion,descending,0,350
26,merge,descending,0,57
26,hybrid,descending,0,350
26,insertion,random,0,189.04
26,merge,random,19.92,92
26,hybrid,random,0,187.64
27,insertion,ascending,0,26
27,merge,ascending,0,70
27,hybrid,ascending,0,26
27,insertion,descending,0,377
27,merge,descending,0,60
27,hybrid,descending,0,377
27,insertion,random,0,202.58
27,merge,random,0,96.38
27,hybrid,random,0,204.46
28,insertion,ascending,0,27
28,merge,ascending,0,72
28,hybrid,ascending,0,27
28,insertion,descending,0,405
28,merge,descending,0,64
28,hybrid,descending,0,405
28,insertion,random,0,215.34
28,merge,random,0,102.22
28,hybrid,random,0,216.68
29,insertion,ascending,0,28
29,merge,ascending,20.02,75
29,hybrid,ascending,0,28
29,insertion,descending,0,434
29,merge,descending,0,67
29,hybrid,descending,0,434
29,insertion,random,0,228.66
29,merge,random,0,105.92
29,hybrid,random,0,228.4
30,insertion,ascending,0,29
30,merge,ascending,0,77
30,hybrid,ascending,0,29
30,insertion,descending,0,464
30,merge,descending,19.84,71
30,hybrid,descending,0,464
30,insertion,random,0,237.86
30,merge,random,0,111.84
30,hybrid,random,0,246.98
31,insertion,ascending,0,30
31,merge,ascending,0,79
31,hybrid,ascending,0,30
31,insertion,descending,0,495
31,merge,descending,19.94,75
31,hybrid,descending,0,495
31,insertion,random,0,267.26
31,merge,random,0,116.4
31,hybrid,random,19.94,260.12
32,insertion,ascending,0,31
32,merge,ascending,0,80
32,hybrid,ascending,0,31
32,insertion,descending,19.94,527
32,merge,descending,0,80
32,hybrid,descending,0,527
32,insertion,random,0,281.92
32,merge,random,0,122.06
32,hybrid,random,0,276.1
33,insertion,ascending,0,32
33,merge,ascending,0,86
33,hybrid,ascending,0,32
33,insertion,descending,0,560
33,merge,descending,0,81
33,hybrid,descending,0,560
33,insertion,random,0,296.3
33,merge,random,0,127.68
33,hybrid,random,0,295.46
